Name of the College,Courses Offered (UG - Merit Based),UR,OBC,EWS,Minority,SC,ST,PwD
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Microbiology,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Physics,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Polymer Science,23020,23020,23020,23020,23020,23020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Zoology,13020,13020,13020,13020,13020,13020,9410
College of Vocational Studies,bachelor of arts (VS) Office Management and Secretarial Practice,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Marketing Management and Retail Business,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Human Resource Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Small and Medium Enterprises,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Management and Marketing of Insurance,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Material Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (VS) Tourism Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.COM (H),10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (H) Economics,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (H) History,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of Sciences(H) Computer Science,41000,41000,41000,41000,41000,41000,75
College of Vocational Studies,bachelor of arts (H) English,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,bachelor of arts (H) Hindi,10150,10150,10150,10150,10150,10150,75
Daulat Ram College,bachelor of arts (H) Economics,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) English,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) Hindi,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) History,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) Music,16540,16540,16540,16540,16540,16540,1155
Daulat Ram College,bachelor of arts (H) Philosophy,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) Pol. Science,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (H) Psychology,17490,17490,17490,17490,17490,17490,1155
Daulat Ram College,bachelor of arts (H) Sanskrit,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,bachelor of arts (Prog.),**,**,**,**,**,**,1155
Daulat Ram College,bachelor of commerce,16890,16890,16890,16890,16890,16890,1155
Daulat Ram College,bachelor of commerce (H),16890,16890,16890,16890,16890,16890,1155
Daulat Ram College,B.Sc (H) Biochemistry,19480,19480,19480,19480,19480,19480,1155
Daulat Ram College,B.Sc (H) Botany,19540,19540,19540,19540,19540,19540,1155
Daulat Ram College,B.Sc (H) Chemistry,19480,19480,19480,19480,19480,19480,1155
Daulat Ram College,B.Sc (H) Mathematics,18370,18370,18370,18370,18370,18370,1155
Daulat Ram College,B.Sc (H) Physics,19540,19540,19540,19540,19540,19540,1155
Daulat Ram College,B.Sc (H) Zoology,18570,18570,18570,18570,18570,18570,1155
Daulat Ram College,bachelor of Sciences Life Sciences,18580,18580,18580,18580,18580,18580,1155
Deen Dayal Upadhyaya College,bachelor of arts (H) ENGLISH,19545,19545,19545,19545,19545,19545,1730
Deen Dayal Upadhyaya College,bachelor of commerce (H),18745,18745,18745,18745,18745,18745,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) BOTANY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) CHEMISTRY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) COMPUTER SCIENCE,36145,36145,36145,36145,36145,36145,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) ELECTRONICS,20345,20345,20345,20345,20345,20345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) MATHEMATICS,18945,18945,18945,18945,18945,18945,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) PHYSICS,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences (H) ZOOLOGY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences LIFE SCIENCE,19745,19745,19745,19745,19745,19745,1730
Deen Dayal Upadhyaya College,bachelor of Sciences PHYSICAL SCIENCE WITH CHEMISTRY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences PHYSICAL SCIENCE WITH COMP. SCIENCE,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of Sciences MATHEMATICAL SCIENCE,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,bachelor of arts (Prog.),18545,18545,18545,18545,18545,18545,1730
