Name of the College,Courses Offered (UG - Merit Based),UR,OBC,EWS,Minority,SC,ST,PwD
Aryabhatta College,B.A. (H) English,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.A. (H) Hindi,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.A. (H) History,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.A. (H) Political Science,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.A. (H) Psychology,15830,15830,15830,15830,15830,15830,784
Aryabhatta College,B.Sc. (H) Computer Science,29130,29130,29130,29130,29130,29130,784
Aryabhatta College,B.Sc. (H) Mathematics,15830,15830,15830,15830,15830,15830,784
Aryabhatta College,B.Com. (H),13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.Com.,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,B.A. (Prog.) (History + Political Science),13830,13830,13830,13830,13830,13830,784
Atma Ram Sanatan Dharma College,B.Com. ,10785,10785,10785,10785,10785,10785,525
Atma Ram Sanatan Dharma College,B.Com. (H),12185,12185,12185,12185,12185,12185,525
Atma Ram Sanatan Dharma College,B.A. (Prog.),10785,10785,10785,10785,10785,10785,525
Atma Ram Sanatan Dharma College,B.A. (H) English,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,B.A. (H) Hindi,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,B.A. (H) History,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,B.A. (H) Political Science,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,B.A. (H) Economics,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,B.Sc. (H) Physics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,B.Sc. (H) Chemistry,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,B.Sc. (H) Mathematics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,B.Sc. (H) Electronics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,B.Sc. (H) Computer Science,50500,50500,50500,50500,50500,50500,38200
Atma Ram Sanatan Dharma College,B.Sc. (Prog.) Physical Science Chemistry,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,B.Sc. (Prog.) Physical Science Electronics,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,B.Sc. (Prog.) Physical Science Computer Science,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,"B.Sc. (Prog.) Applied Physical Science Industrial
Chemistry",13345,13345,13345,13345,13345,13345,525
Bhagini Nivedita College,B.A. (Prog.),6060,6060,6060,6060,6060,6060,170
Bhagini Nivedita College,B.Com.,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,B.A. (H) Hindi,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,B.A. (H) History,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,B.A. (H) Pol. Science,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,B.Sc. Physical Science with Chemistry,6760,6760,6760,6760,6760,6760,170
Bhagini Nivedita College,B.Sc. Physical Science with Computer,6760,6760,6760,6760,6760,6760,170
Bhagini Nivedita College,B.Sc. (H) Home Science,6060,6060,6060,6060,6060,6060,170
Bhagini Nivedita College,B.Sc.  (H) Physics,6760,6760,6760,6760,6760,6760,170
Bharati College,B.A. (H) English,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.A. (H) Hindi,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.A. (H) Sanskrit,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.A. (H) History,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.A. (H) Pol. Science,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.A. (H) Journalism,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.Sc. (H) Psychology,11965,11965,11965,11965,11965,11965,1075
Bharati College,B.A. (H) Sociology,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.Sc. (H) mathematics,10465,10465,10465,10465,10465,10465,1075
Bharati College,B.Com. (H),10465,10465,10465,10465,10465,10465,1075
Bharati College,B.Com.,10465,10465,10465,10465,10465,10465,1075
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Biomedical Science,23020,23020,23020,23020,23020,23020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Botany,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Chemistry,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Computer Science,28020,28020,28020,28020,28020,28020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Electronics,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Food Technology,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Instrumentation,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Microbiology,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Physics,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Polymer Science,23020,23020,23020,23020,23020,23020,9410
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Zoology,13020,13020,13020,13020,13020,13020,9410
College of Vocational Studies,B.A. (VS) Office Management and Secretarial Practice,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Marketing Management and Retail Business,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Human Resource Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Small and Medium Enterprises,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Management and Marketing of Insurance,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Material Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (VS) Tourism Management,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.COM (H),10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (H) Economics,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (H) History,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.SC.(H) Computer Science,41000,41000,41000,41000,41000,41000,75
College of Vocational Studies,B.A. (H) English,10150,10150,10150,10150,10150,10150,75
College of Vocational Studies,B.A. (H) Hindi,10150,10150,10150,10150,10150,10150,75
Daulat Ram College,B.A (H) Economics,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) English,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) Hindi,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) History,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) Music,16540,16540,16540,16540,16540,16540,1155
Daulat Ram College,B.A (H) Philosophy,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) Pol. Science,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A (H) Psychology,17490,17490,17490,17490,17490,17490,1155
Daulat Ram College,B.A (H) Sanskrit,15890,15890,15890,15890,15890,15890,1155
Daulat Ram College,B.A. (Prog.),**,**,**,**,**,**,1155
Daulat Ram College,B.Com.,16890,16890,16890,16890,16890,16890,1155
Daulat Ram College,B.Com. (H),16890,16890,16890,16890,16890,16890,1155
Daulat Ram College,B.Sc (H) Biochemistry,19480,19480,19480,19480,19480,19480,1155
Daulat Ram College,B.Sc (H) Botany,19540,19540,19540,19540,19540,19540,1155
Daulat Ram College,B.Sc (H) Chemistry,19480,19480,19480,19480,19480,19480,1155
Daulat Ram College,B.Sc (H) Mathematics,18370,18370,18370,18370,18370,18370,1155
Daulat Ram College,B.Sc (H) Physics,19540,19540,19540,19540,19540,19540,1155
Daulat Ram College,B.Sc (H) Zoology,18570,18570,18570,18570,18570,18570,1155
Daulat Ram College,B.Sc. Life Sciences,18580,18580,18580,18580,18580,18580,1155
Deen Dayal Upadhyaya College,B.A. (H) ENGLISH,19545,19545,19545,19545,19545,19545,1730
Deen Dayal Upadhyaya College,B.COM. (H),18745,18745,18745,18745,18745,18745,1730
Deen Dayal Upadhyaya College,B.SC. (H) BOTANY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. (H) CHEMISTRY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. (H) COMPUTER SCIENCE,36145,36145,36145,36145,36145,36145,1730
Deen Dayal Upadhyaya College,B.SC. (H) ELECTRONICS,20345,20345,20345,20345,20345,20345,1730
Deen Dayal Upadhyaya College,B.SC. (H) MATHEMATICS,18945,18945,18945,18945,18945,18945,1730
Deen Dayal Upadhyaya College,B.SC. (H) PHYSICS,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. (H) ZOOLOGY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. LIFE SCIENCE,19745,19745,19745,19745,19745,19745,1730
Deen Dayal Upadhyaya College,B.SC. PHYSICAL SCIENCE WITH CHEMISTRY,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. PHYSICAL SCIENCE WITH COMP. SCIENCE,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.SC. MATHEMATICAL SCIENCE,19345,19345,19345,19345,19345,19345,1730
Deen Dayal Upadhyaya College,B.A. (Prog.),18545,18545,18545,18545,18545,18545,1730
